shipment_id,delivery_id,claim_id,ship_date,delivery_date,calculated_delay,stock_level,reorder_threshold,reorder_flag,claim_date,resolved_date,claim_age,reason,amount_claimed,claim_status
S00037,D00036,C00296,2025-06-05,2025-06-07,2,,,False,2025-09-05,2025-09-17,12.0,Lost Package,399.06,Pending
S00038,D00037,,2025-07-06,2025-07-16,10,,,False,,,,,,
S00039,D00038,C00001,2025-08-01,2025-08-11,10,774.0,243.0,False,2025-06-03,2025-06-19,16.0,Damage,338.78,Rejected
S00039,D00038,C00077,2025-08-01,2025-08-11,10,774.0,243.0,False,2025-06-22,2025-07-11,19.0,Damage,774.12,Approved
S00040,D00039,C00054,2025-03-21,2025-03-26,5,920.0,281.0,False,2025-06-03,2025-06-17,14.0,Delay,123.98,Rejected
S00041,D00040,,2025-06-17,2025-06-23,6,901.0,293.0,False,,,,,,
S00042,D00041,,2025-06-29,2025-07-03,4,,,False,,,,,,
S00043,D00042,,2025-03-22,2025-03-24,2,774.0,243.0,False,,,,,,
S00044,D00043,C00057,2025-05-19,2025-05-23,4,,,False,2025-08-11,2025-08-23,12.0,Damage,565.17,Rejected
S00045,D00044,C00113,2025-06-09,2025-06-15,6,,,False,2025-05-14,2025-05-23,9.0,Lost Package,306.4,Pending
S00046,D00045,,2025-07-21,2025-07-31,10,,,False,,,,,,
S00047,D00046,,2025-04-14,2025-04-21,7,685.0,289.0,False,,,,,,
S00048,D00047,,2025-05-16,2025-05-26,10,,,False,,,,,,
S00049,D00048,C00192,2025-08-03,2025-08-09,6,536.0,283.0,False,2025-06-19,2025-06-28,9.0,Damage,708.24,Approved
S00049,D00048,C00192,2025-08-03,2025-08-09,6,486.0,100.0,False,2025-06-19,2025-06-28,9.0,Damage,708.24,Approved
S00049,D00048,C00192,2025-08-03,2025-08-09,6,330.0,104.0,False,2025-06-19,2025-06-28,9.0,Damage,708.24,Approved
S00050,D00049,,2025-04-11,2025-04-17,6,784.0,241.0,False,,,,,,
S00050,D00049,,2025-04-11,2025-04-17,6,543.0,220.0,False,,,,,,
S00051,D00050,,2025-04-23,2025-05-02,9,,,False,,,,,,
S00052,D00051,,2025-06-18,2025-06-24,6,198.0,299.0,True,,,,,,
S00053,D00052,,2025-06-11,2025-06-15,4,983.0,225.0,False,,,,,,
S00053,D00052,,2025-06-11,2025-06-15,4,531.0,226.0,False,,,,,,
S00054,D00053,,2025-03-12,2025-03-16,4,155.0,218.0,True,,,,,,
S00054,D00053,,2025-03-12,2025-03-16,4,598.0,246.0,False,,,,,,
S00055,D00054,,2025-05-09,2025-05-19,10,,,False,,,,,,
S00056,D00055,C00061,2025-05-17,2025-05-21,4,39.0,137.0,True,2025-09-02,2025-09-05,3.0,Incorrect Delivery,741.36,Approved
S00057,D00056,,2025-05-08,2025-05-18,10,,,False,,,,,,
S00058,D00057,,2025-06-18,2025-06-27,9,237.0,214.0,False,,,,,,
S00058,D00057,,2025-06-18,2025-06-27,9,334.0,172.0,False,,,,,,
S00059,D00058,,2025-05-07,2025-05-11,4,994.0,256.0,False,,,,,,
S00060,D00059,,2025-07-13,2025-07-20,7,113.0,254.0,True,,,,,,
S00061,D00060,C00053,2025-07-16,2025-07-20,4,281.0,252.0,False,2025-07-15,2025-07-19,4.0,Damage,817.53,Rejected
S00061,D00060,C00053,2025-07-16,2025-07-20,4,258.0,286.0,True,2025-07-15,2025-07-19,4.0,Damage,817.53,Rejected
S00062,D00061,,2025-08-06,2025-08-13,7,339.0,115.0,False,,,,,,
S00063,D00062,C00217,2025-07-05,2025-07-09,4,99.0,116.0,True,2025-07-13,2025-07-29,16.0,Lost Package,993.89,Approved
S00064,D00063,,2025-07-29,2025-08-06,8,848.0,199.0,False,,,,,,
S00064,D00063,,2025-07-29,2025-08-06,8,773.0,210.0,False,,,,,,
S00065,D00064,,2025-04-30,2025-05-07,7,,,False,,,,,,
S00066,D00065,,2025-07-02,2025-07-12,10,863.0,292.0,False,,,,,,
S00067,D00066,C00049,2025-04-23,2025-05-03,10,229.0,247.0,True,2025-05-09,2025-05-21,12.0,Lost Package,498.53,Rejected
S00067,D00066,C00049,2025-04-23,2025-05-03,10,398.0,299.0,False,2025-05-09,2025-05-21,12.0,Lost Package,498.53,Rejected
S00067,D00066,C00123,2025-04-23,2025-05-03,10,229.0,247.0,True,2025-09-07,2025-09-18,11.0,Incorrect Delivery,110.45,Rejected
S00067,D00066,C00123,2025-04-23,2025-05-03,10,398.0,299.0,False,2025-09-07,2025-09-18,11.0,Incorrect Delivery,110.45,Rejected
S00068,D00067,,2025-06-17,2025-06-27,10,,,False,,,,,,
S00069,D00068,C00177,2025-04-15,2025-04-25,10,,,False,2025-04-14,2025-04-20,6.0,Incorrect Delivery,124.97,Pending
S00070,D00069,,2025-08-01,2025-08-09,8,,,False,,,,,,
S00071,D00070,,2025-08-06,2025-08-13,7,,,False,,,,,,
S00072,D00071,,2025-07-16,2025-07-19,3,999.0,188.0,False,,,,,,
S00073,D00072,C00287,2025-05-31,2025-06-09,9,908.0,257.0,False,2025-07-22,2025-07-23,1.0,Incorrect Delivery,634.28,Rejected
S00074,D00073,,2025-05-07,2025-05-15,8,,,False,,,,,,
S00075,D00074,,2025-03-21,2025-03-26,5,,,False,,,,,,
S00076,D00075,,2025-04-03,2025-04-10,7,277.0,241.0,False,,,,,,
S00076,D00075,,2025-04-03,2025-04-10,7,346.0,163.0,False,,,,,,
S00077,D00076,,2025-03-21,2025-03-23,2,530.0,236.0,False,,,,,,
S00078,D00077,C00185,2025-05-16,2025-05-20,4,,,False,2025-09-05,2025-09-07,2.0,Delay,757.4,Pending
S00079,D00078,,2025-04-07,2025-04-12,5,30.0,266.0,True,,,,,,
S00080,D00079,,2025-08-09,2025-08-11,2,582.0,102.0,False,,,,,,
S00080,D00079,,2025-08-09,2025-08-11,2,926.0,298.0,False,,,,,,
S00080,D00079,,2025-08-09,2025-08-11,2,781.0,225.0,False,,,,,,
S00081,D00080,C00071,2025-05-10,2025-05-19,9,353.0,260.0,False,2025-05-14,2025-05-22,8.0,Lost Package,626.63,Rejected
S00081,D00080,C00071,2025-05-10,2025-05-19,9,476.0,168.0,False,2025-05-14,2025-05-22,8.0,Lost Package,626.63,Rejected
S00082,D00081,,2025-08-05,2025-08-11,6,,,False,,,,,,
S00083,D00082,,2025-06-14,2025-06-17,3,,,False,,,,,,
S00084,D00083,,2025-05-28,2025-06-01,4,817.0,112.0,False,,,,,,
S00084,D00083,,2025-05-28,2025-06-01,4,13.0,178.0,True,,,,,,
S00085,D00084,,2025-03-11,2025-03-14,3,,,False,,,,,,
S00086,D00085,,2025-03-13,2025-03-20,7,24.0,261.0,True,,,,,,
S00087,D00086,,2025-04-17,2025-04-26,9,868.0,163.0,False,,,,,,
S00088,D00087,,2025-04-23,2025-04-25,2,202.0,231.0,True,,,,,,
S00088,D00087,,2025-04-23,2025-04-25,2,310.0,257.0,False,,,,,,
S00088,D00087,,2025-04-23,2025-04-25,2,558.0,212.0,False,,,,,,
S00089,D00088,,2025-05-24,2025-05-31,7,,,False,,,,,,
S00090,D00089,,2025-05-07,2025-05-09,2,740.0,110.0,False,,,,,,
S00091,D00090,,2025-07-04,2025-07-06,2,,,False,,,,,,
S00092,D00091,C00131,2025-05-16,2025-05-26,10,191.0,182.0,False,2025-06-05,2025-06-24,19.0,Lost Package,166.47,Pending
S00093,D00092,,2025-04-12,2025-04-16,4,603.0,155.0,False,,,,,,
S00093,D00092,,2025-04-12,2025-04-16,4,760.0,256.0,False,,,,,,
S00094,D00093,C00282,2025-07-30,2025-08-05,6,123.0,242.0,True,2025-07-27,2025-08-16,20.0,Damage,616.92,Pending
S00094,D00093,C00282,2025-07-30,2025-08-05,6,657.0,148.0,False,2025-07-27,2025-08-16,20.0,Damage,616.92,Pending
S00094,D00093,C00282,2025-07-30,2025-08-05,6,732.0,277.0,False,2025-07-27,2025-08-16,20.0,Damage,616.92,Pending
S00095,D00094,,2025-07-03,2025-07-13,10,24.0,261.0,True,,,,,,
S00096,D00095,,2025-07-15,2025-07-19,4,215.0,192.0,False,,,,,,
S00097,D00096,,2025-08-07,2025-08-15,8,,,False,,,,,,
S00098,D00097,,2025-07-15,2025-07-25,10,527.0,133.0,False,,,,,,
S00099,D00098,C00265,2025-06-05,2025-06-15,10,,,False,2025-09-01,2025-09-20,19.0,Delay,352.3,Rejected
S00100,D00099,C00145,2025-06-11,2025-06-19,8,920.0,281.0,False,2025-06-24,2025-07-08,14.0,Lost Package,171.66,Approved
S00101,D00100,,2025-07-11,2025-07-13,2,,,False,,,,,,
S00102,D00101,,2025-07-17,2025-07-21,4,155.0,218.0,True,,,,,,
S00102,D00101,,2025-07-17,2025-07-21,4,598.0,246.0,False,,,,,,
S00103,D00102,C00026,2025-05-31,2025-06-04,4,537.0,199.0,False,2025-04-17,2025-04-30,13.0,Damage,356.01,Rejected
S00103,D00102,C00026,2025-05-31,2025-06-04,4,179.0,174.0,False,2025-04-17,2025-04-30,13.0,Damage,356.01,Rejected
S00103,D00102,C00026,2025-05-31,2025-06-04,4,488.0,255.0,False,2025-04-17,2025-04-30,13.0,Damage,356.01,Rejected
S00104,D00103,,2025-05-04,2025-05-09,5,801.0,232.0,False,,,,,,
S00104,D00103,,2025-05-04,2025-05-09,5,816.0,233.0,False,,,,,,
S00105,D00104,C00086,2025-07-07,2025-07-13,6,988.0,182.0,False,2025-05-14,2025-05-19,5.0,Incorrect Delivery,917.27,Pending
S00105,D00104,C00124,2025-07-07,2025-07-13,6,988.0,182.0,False,2025-07-12,2025-07-31,19.0,Incorrect Delivery,228.11,Approved
S00106,D00105,,2025-06-20,2025-06-28,8,,,False,,,,,,
S00107,D00106,,2025-05-07,2025-05-15,8,229.0,152.0,False,,,,,,
S00107,D00106,,2025-05-07,2025-05-15,8,282.0,255.0,False,,,,,,
S00107,D00106,,2025-05-07,2025-05-15,8,799.0,268.0,False,,,,,,
S00108,D00107,C00019,2025-04-20,2025-04-22,2,,,False,2025-07-18,2025-07-22,4.0,Delay,921.96,Pending
S00109,D00108,,2025-03-13,2025-03-16,3,267.0,152.0,False,,,,,,
S00110,D00109,C00118,2025-04-08,2025-04-11,3,,,False,2025-06-16,2025-06-29,13.0,Incorrect Delivery,622.93,Rejected
S00111,D00110,,2025-04-29,2025-05-03,4,,,False,,,,,,
S00112,D00111,C00172,2025-05-07,2025-05-13,6,754.0,108.0,False,2025-05-05,2025-05-25,20.0,Incorrect Delivery,669.36,Rejected
S00113,D00112,C00008,2025-04-13,2025-04-18,5,106.0,113.0,True,2025-05-23,2025-05-30,7.0,Incorrect Delivery,159.77,Pending
S00113,D00112,C00008,2025-04-13,2025-04-18,5,250.0,197.0,False,2025-05-23,2025-05-30,7.0,Incorrect Delivery,159.77,Pending
S00114,D00113,C00152,2025-06-01,2025-06-03,2,,,False,2025-07-13,2025-08-02,20.0,Damage,652.33,Rejected
S00115,D00114,,2025-03-12,2025-03-16,4,,,False,,,,,,
S00116,D00115,,2025-05-13,2025-05-18,5,407.0,224.0,False,,,,,,
S00116,D00115,,2025-05-13,2025-05-18,5,186.0,201.0,True,,,,,,
S00117,D00116,,2025-07-31,2025-08-04,4,43.0,190.0,True,,,,,,
S00117,D00116,,2025-07-31,2025-08-04,4,247.0,145.0,False,,,,,,
S00117,D00116,,2025-07-31,2025-08-04,4,776.0,180.0,False,,,,,,
S00118,D00117,C00018,2025-04-02,2025-04-09,7,484.0,197.0,False,2025-08-30,2025-09-12,13.0,Damage,204.34,Approved
S00119,D00118,C00016,2025-05-02,2025-05-10,8,,,False,2025-07-07,2025-07-22,15.0,Delay,241.66,Rejected
S00120,D00119,,2025-05-31,2025-06-10,10,539.0,213.0,False,,,,,,
S00121,D00120,,2025-07-30,2025-08-09,10,959.0,101.0,False,,,,,,
S00121,D00120,,2025-07-30,2025-08-09,10,944.0,273.0,False,,,,,,
S00121,D00120,,2025-07-30,2025-08-09,10,750.0,170.0,False,,,,,,
S00122,D00121,C00035,2025-07-03,2025-07-06,3,,,False,2025-08-09,2025-08-21,12.0,Delay,347.92,Approved
S00123,D00122,,2025-04-15,2025-04-24,9,598.0,272.0,False,,,,,,
S00124,D00123,,2025-07-21,2025-07-26,5,115.0,221.0,True,,,,,,
S00125,D00124,,2025-04-01,2025-04-05,4,162.0,207.0,True,,,,,,
S00126,D00125,,2025-04-30,2025-05-08,8,781.0,195.0,False,,,,,,
S00126,D00125,,2025-04-30,2025-05-08,8,910.0,210.0,False,,,,,,
S00126,D00125,,2025-04-30,2025-05-08,8,85.0,221.0,True,,,,,,
S00127,D00126,,2025-08-07,2025-08-10,3,,,False,,,,,,
S00128,D00127,,2025-06-19,2025-06-22,3,,,False,,,,,,
S00129,D00128,,2025-06-12,2025-06-19,7,710.0,124.0,False,,,,,,
S00129,D00128,,2025-06-12,2025-06-19,7,310.0,141.0,False,,,,,,
S00130,D00129,C00257,2025-04-08,2025-04-11,3,,,False,2025-06-24,2025-07-08,14.0,Damage,948.94,Pending
S00130,D00129,C00272,2025-04-08,2025-04-11,3,,,False,2025-05-31,2025-06-19,19.0,Lost Package,547.25,Pending
S00131,D00130,C00190,2025-06-17,2025-06-23,6,,,False,2025-07-19,2025-07-27,8.0,Damage,704.57,Rejected
S00132,D00131,,2025-03-25,2025-04-03,9,281.0,200.0,False,,,,,,
S00133,D00132,,2025-05-04,2025-05-14,10,,,False,,,,,,
S00134,D00133,,2025-05-28,2025-05-31,3,,,False,,,,,,
S00135,D00134,C00292,2025-06-30,2025-07-02,2,232.0,217.0,False,2025-07-15,2025-07-19,4.0,Lost Package,351.13,Approved
S00136,D00135,C00222,2025-06-05,2025-06-14,9,,,False,2025-04-14,2025-04-22,8.0,Delay,848.48,Rejected
S00137,D00136,,2025-08-02,2025-08-09,7,291.0,179.0,False,,,,,,
S00137,D00136,,2025-08-02,2025-08-09,7,894.0,138.0,False,,,,,,
S00138,D00137,,2025-06-27,2025-06-30,3,78.0,119.0,True,,,,,,
S00139,D00138,C00184,2025-06-17,2025-06-22,5,636.0,107.0,False,2025-09-05,2025-09-19,14.0,Incorrect Delivery,813.28,Pending
S00140,D00139,,2025-05-16,2025-05-22,6,,,False,,,,,,
S00141,D00140,,2025-06-07,2025-06-17,10,,,False,,,,,,
S00142,D00141,,2025-07-28,2025-08-05,8,229.0,247.0,True,,,,,,
S00142,D00141,,2025-07-28,2025-08-05,8,398.0,299.0,False,,,,,,
S00143,D00142,,2025-03-29,2025-04-07,9,267.0,207.0,False,,,,,,
S00144,D00143,C00195,2025-07-12,2025-07-16,4,,,False,2025-05-10,2025-05-25,15.0,Delay,238.75,Rejected
S00145,D00144,C00039,2025-07-25,2025-08-03,9,664.0,120.0,False,2025-04-11,2025-04-15,4.0,Incorrect Delivery,937.17,Approved
S00145,D00144,C00039,2025-07-25,2025-08-03,9,427.0,101.0,False,2025-04-11,2025-04-15,4.0,Incorrect Delivery,937.17,Approved
S00145,D00144,C00267,2025-07-25,2025-08-03,9,664.0,120.0,False,2025-06-07,2025-06-10,3.0,Incorrect Delivery,400.84,Rejected
S00145,D00144,C00267,2025-07-25,2025-08-03,9,427.0,101.0,False,2025-06-07,2025-06-10,3.0,Incorrect Delivery,400.84,Rejected
S00146,D00145,,2025-04-07,2025-04-17,10,93.0,194.0,True,,,,,,
S00147,D00146,,2025-04-16,2025-04-26,10,183.0,116.0,False,,,,,,
S00147,D00146,,2025-04-16,2025-04-26,10,118.0,295.0,True,,,,,,
S00148,D00147,,2025-08-09,2025-08-18,9,393.0,176.0,False,,,,,,
S00149,D00148,,2025-08-05,2025-08-11,6,,,False,,,,,,
S00150,D00149,,2025-04-03,2025-04-07,4,409.0,283.0,False,,,,,,
S00151,D00150,C00214,2025-06-16,2025-06-18,2,627.0,235.0,False,2025-04-29,2025-05-08,9.0,Incorrect Delivery,964.31,Rejected
S00152,D00151,,2025-07-31,2025-08-08,8,713.0,201.0,False,,,,,,
S00153,D00152,,2025-06-12,2025-06-17,5,561.0,139.0,False,,,,,,
S00154,D00153,,2025-07-30,2025-08-02,3,205.0,129.0,False,,,,,,
S00155,D00154,,2025-07-05,2025-07-12,7,,,False,,,,,,
S00156,D00155,,2025-05-31,2025-06-09,9,,,False,,,,,,
S00157,D00156,,2025-05-16,2025-05-22,6,15.0,290.0,True,,,,,,
S00157,D00156,,2025-05-16,2025-05-22,6,188.0,291.0,True,,,,,,
S00157,D00156,,2025-05-16,2025-05-22,6,411.0,247.0,False,,,,,,
S00158,D00157,,2025-04-06,2025-04-13,7,210.0,276.0,True,,,,,,
S00159,D00158,,2025-05-08,2025-05-11,3,441.0,280.0,False,,,,,,
S00160,D00159,,2025-07-11,2025-07-18,7,,,False,,,,,,
S00161,D00160,,2025-07-27,2025-07-31,4,255.0,142.0,False,,,,,,
S00161,D00160,,2025-07-27,2025-07-31,4,551.0,289.0,False,,,,,,
S00162,D00161,,2025-07-26,2025-07-31,5,,,False,,,,,,
S00163,D00162,,2025-07-12,2025-07-22,10,,,False,,,,,,
S00164,D00163,,2025-06-28,2025-07-06,8,598.0,272.0,False,,,,,,
S00165,D00164,C00174,2025-07-19,2025-07-22,3,,,False,2025-07-23,2025-08-02,10.0,Delay,206.57,Pending
S00166,D00165,,2025-03-13,2025-03-23,10,535.0,285.0,False,,,,,,
S00166,D00165,,2025-03-13,2025-03-23,10,220.0,294.0,True,,,,,,
S00166,D00165,,2025-03-13,2025-03-23,10,64.0,104.0,True,,,,,,
S00167,D00166,,2025-07-19,2025-07-25,6,407.0,224.0,False,,,,,,
S00167,D00166,,2025-07-19,2025-07-25,6,186.0,201.0,True,,,,,,
S00168,D00167,,2025-05-05,2025-05-12,7,487.0,222.0,False,,,,,,
S00168,D00167,,2025-05-05,2025-05-12,7,200.0,164.0,False,,,,,,
S00168,D00167,,2025-05-05,2025-05-12,7,974.0,245.0,False,,,,,,
S00169,D00168,,2025-07-23,2025-08-02,10,602.0,207.0,False,,,,,,
S00169,D00168,,2025-07-23,2025-08-02,10,291.0,141.0,False,,,,,,
S00170,D00169,,2025-03-17,2025-03-19,2,822.0,234.0,False,,,,,,
S00171,D00170,,2025-07-08,2025-07-17,9,314.0,116.0,False,,,,,,
S00172,D00171,C00010,2025-05-25,2025-05-31,6,,,False,2025-04-24,2025-05-04,10.0,Lost Package,697.61,Pending
S00173,D00172,,2025-07-24,2025-07-26,2,481.0,198.0,False,,,,,,
S00173,D00172,,2025-07-24,2025-07-26,2,995.0,207.0,False,,,,,,
S00174,D00173,,2025-05-24,2025-05-29,5,607.0,147.0,False,,,,,,
S00175,D00174,,2025-06-26,2025-07-04,8,636.0,227.0,False,,,,,,
S00175,D00174,,2025-06-26,2025-07-04,8,479.0,162.0,False,,,,,,
S00176,D00175,C00275,2025-07-09,2025-07-15,6,908.0,257.0,False,2025-07-10,2025-07-26,16.0,Delay,844.55,Approved
S00177,D00176,,2025-08-04,2025-08-09,5,607.0,107.0,False,,,,,,
S00177,D00176,,2025-08-04,2025-08-09,5,462.0,154.0,False,,,,,,
S00178,D00177,,2025-04-17,2025-04-19,2,599.0,294.0,False,,,,,,
S00178,D00177,,2025-04-17,2025-04-19,2,896.0,157.0,False,,,,,,
S00178,D00177,,2025-04-17,2025-04-19,2,500.0,244.0,False,,,,,,
S00179,D00178,,2025-04-16,2025-04-24,8,292.0,182.0,False,,,,,,
S00179,D00178,,2025-04-16,2025-04-24,8,416.0,281.0,False,,,,,,
S00180,D00179,C00064,2025-05-23,2025-05-27,4,,,False,2025-07-03,2025-07-04,1.0,Damage,733.66,Pending
S00181,D00180,,2025-04-05,2025-04-15,10,285.0,135.0,False,,,,,,
S00181,D00180,,2025-04-05,2025-04-15,10,300.0,191.0,False,,,,,,
S00182,D00181,C00116,2025-03-12,2025-03-14,2,,,False,2025-08-16,2025-09-03,18.0,Incorrect Delivery,355.71,Rejected
S00182,D00181,C00276,2025-03-12,2025-03-14,2,,,False,2025-06-22,2025-07-03,11.0,Delay,927.59,Rejected
S00183,D00182,C00283,2025-03-18,2025-03-21,3,,,False,2025-06-03,2025-06-06,3.0,Incorrect Delivery,897.32,Pending
S00184,D00183,C00162,2025-08-08,2025-08-16,8,46.0,118.0,True,2025-07-30,2025-08-12,13.0,Damage,363.99,Approved
S00185,D00184,,2025-06-25,2025-07-05,10,95.0,144.0,True,,,,,,
S00186,D00185,C00175,2025-06-21,2025-07-01,10,,,False,2025-04-13,2025-04-29,16.0,Incorrect Delivery,485.36,Approved
S00187,D00186,C00119,2025-06-17,2025-06-20,3,,,False,2025-08-23,2025-09-06,14.0,Lost Package,676.0,Rejected
S00188,D00187,,2025-05-28,2025-06-05,8,921.0,246.0,False,,,,,,
S00189,D00188,,2025-07-17,2025-07-22,5,481.0,127.0,False,,,,,,
S00190,D00189,C00147,2025-04-22,2025-05-01,9,,,False,2025-07-01,2025-07-19,18.0,Incorrect Delivery,663.93,Approved
S00191,D00190,,2025-04-02,2025-04-11,9,756.0,201.0,False,,,,,,
S00192,D00191,C00135,2025-03-18,2025-03-25,7,603.0,155.0,False,2025-09-09,2025-09-20,11.0,Delay,139.41,Approved
S00192,D00191,C00135,2025-03-18,2025-03-25,7,760.0,256.0,False,2025-09-09,2025-09-20,11.0,Delay,139.41,Approved
S00193,D00192,,2025-05-24,2025-05-30,6,860.0,274.0,False,,,,,,
S00193,D00192,,2025-05-24,2025-05-30,6,12.0,175.0,True,,,,,,
S00194,D00193,,2025-03-15,2025-03-21,6,,,False,,,,,,
S00195,D00194,,2025-06-05,2025-06-07,2,,,False,,,,,,
S00196,D00195,,2025-05-12,2025-05-17,5,,,False,,,,,,
S00197,D00196,,2025-06-22,2025-06-25,3,995.0,193.0,False,,,,,,
S00198,D00197,C00012,2025-07-22,2025-07-24,2,735.0,290.0,False,2025-05-10,2025-05-11,1.0,Damage,650.87,Pending
S00199,D00198,,2025-06-23,2025-06-29,6,677.0,283.0,False,,,,,,
S00199,D00198,,2025-06-23,2025-06-29,6,92.0,229.0,True,,,,,,
S00200,D00199,C00238,2025-08-03,2025-08-11,8,443.0,125.0,False,2025-06-01,2025-06-12,11.0,Lost Package,378.4,Rejected
S00200,D00199,C00238,2025-08-03,2025-08-11,8,146.0,126.0,False,2025-06-01,2025-06-12,11.0,Lost Package,378.4,Rejected
S00201,D00200,C00060,2025-05-14,2025-05-23,9,854.0,211.0,False,2025-08-28,2025-09-05,8.0,Damage,467.73,Pending
S00202,D00201,,2025-04-28,2025-05-06,8,878.0,239.0,False,,,,,,
S00202,D00201,,2025-04-28,2025-05-06,8,226.0,157.0,False,,,,,,
S00203,D00202,,2025-05-29,2025-06-01,3,406.0,134.0,False,,,,,,
